소방서명,위치,위도,경도
백운119안전센터,서울특별시 동작구 사당로 63 (상도동),37.4948158,126.961613
동작119안전센터,서울특별시 동작구 여의대방로16길 55(신대방동),37.4946106,126.9176919
공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),37.5500496,126.9597767
서교119안전센터,서울특별시 마포구 양화로 60 (서교동),37.5502888,126.9155561
성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),37.5706129,126.9031221
상암119안전센터,서울특별시 마포구 월드컵북로 42길 34 (상암동),37.58004563,126.881233
신수119안전센터,서울특별시 마포구 창전로 76 (신수동),37.5494864,126.9331869
염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),37.5417252,126.9455813
연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),37.5732205,126.9360365
북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),37.582873,126.9130174
북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),37.5606545,126.9557466
홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),37.5987267,126.9470481
방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),37.4755067,126.9882244
우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),37.4795644,127.0218874
양재119안전센터,서울특별시 서초구 동산로 9 (양재동),37.4694812,127.0408349
반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),37.498466,126.9919369
잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),37.49908,127.0116211
서초119안전센터,서울특별시 서초구 효령로 400 (서초동),37.4880311,127.0276145
왕십리119안전센터,서울특별시 성동구 고산자로 249 (도선동),37.5620298,127.0354792
금호119안전센터,서울특별시 성동구 난계로 19 (금호동1가),37.5540709,127.0243423
성수119안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),37.537186,127.0606625
행당119안전센터,서울특별시 성동구 살곶이길 331(행당동),37.5537556,127.0394847
돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),37.5910122,127.014481
길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),37.6029058,127.0190956
종암119안전센터,서울특별시 성북구 종암로27길 3 (종암동),37.6025913,127.0316251
장위119안전센터,서울특별시 성북구 한천로 640 (장위동),37.6155644,127.0582373
방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),37.5197928,127.1365852
거여119안전센터,서울특별시 송파구 마천로 329 (마천동),37.4941629,127.1518516
잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),37.5073205,127.0939149
가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),37.4961026,127.1110027
마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),37.4998289,127.1425908
운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),37.5148022,127.0736261
신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),37.5279379,126.8330851
양천119안전센터,서울특별시 양천구 목동서로 180 (목동),37.5302722,126.8724554
신정119안전센터,서울특별시 양천구 신월로 268 (신정동),37.5218014,126.8509915
신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),37.5106081,126.8479808
목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),37.5427858,126.8835654
대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),37.4972864,126.904034
영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),37.5184421,126.9042001
당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),37.535499,126.8991997
신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),37.5104295,126.9222055
여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),37.5172532,126.927961
서빙고119안전센터,서울특별시 용산구 서빙고로67길 7(서빙고동),37.5208344,126.9950265
