,k,Optimal coverage points,The ratio of coverage points
0,1,3.1750664419771617,0.04123462911658651
1,2,6.267007391540606,0.08138970638364423
2,3,8.618062913266124,0.11192289497748213
3,4,10.856889619259915,0.140998566483895
4,5,12.961664881911036,0.16833331015468878
5,6,14.405615807403832,0.18708591957667314
6,7,15.809771245243052,0.205321704483676
7,8,17.18712487740153,0.22320941399222766
8,9,18.557352894383946,0.24100458304394737
9,10,19.911554794169053,0.2585916207034942
10,11,21.182443936752072,0.2750966745032737
11,12,22.44847331212903,0.29153861444323415
12,13,23.665242744909683,0.3073408148689569
13,14,24.85177006101238,0.32275026053262834
14,15,25.999958481851912,0.33766179846560923
15,16,27.11389119323136,0.3521284570549527
16,17,28.210933095738323,0.36637575449010806
17,18,29.290115090414407,0.380391105070317
18,19,30.26460665908196,0.39304683972833715
19,20,31.21845099082115,0.4054344284522227
20,21,32.16479067935483,0.41772455427733546
21,22,33.107320824101876,0.4299652055078166
22,23,34.02776420599468,0.44191901566226854
23,24,34.88075796501933,0.4529968566885627
24,25,35.72511509798926,0.46396253374012025
25,26,36.50328668503941,0.47406865824726513
26,27,37.26859417165255,0.4840077165149682
27,28,38.02952230356618,0.49388990004631406
28,29,38.78835377043455,0.5037448541614876
29,30,39.545777524447224,0.5135815262915224
30,31,40.30033711295203,0.5233810014669095
31,32,41.04717375738019,0.5330801786672752
32,33,41.78512318983111,0.5426639375302742
33,34,42.51934402189459,0.5521992730116181
34,35,43.25261588569223,0.5617222842297692
35,36,43.9698245793683,0.5710366828489389
36,37,44.65846256965882,0.5799800333721925
37,38,45.346157611722035,0.5889111378145718
38,39,45.99646704313466,0.5973567148459047
39,40,46.64371077509477,0.6057624775986333
40,41,47.285420991625855,0.6140963765146215
41,42,47.86123974499141,0.6215745421427455
42,43,48.429061306477834,0.6289488481360758
43,44,48.97480753760243,0.6360364615273043
44,45,49.48097586575557,0.6426100761786437
45,46,49.9871441939087,0.6491836908299831
46,47,50.47113397863469,0.6554692724498011
47,48,50.943206120459834,0.6616000794864914
48,49,51.41527826228498,0.6677308865231816
49,50,51.86659407212147,0.6735921308067724
50,51,52.28632955783703,0.6790432410108705
51,52,52.69610544965869,0.6843650058397233
52,53,53.06492824913043,0.6891549123263693
53,54,53.38855011511048,0.6933577937027335
54,55,53.71217198109054,0.6975606750790979
55,56,54.01942564903774,0.7015509824550357
56,57,54.21033796221378,0.7040303631456335
57,58,54.3528500973836,0.7058811700958909
58,59,54.39128093242489,0.7063802718496739
59,60,54.42971176746619,0.706879373603457
60,61,54.43921138772852,0.7070027452951756
61,62,54.44871100799085,0.7071261169868942
62,63,54.458210628253184,0.7072494886786128
63,64,54.461357746523156,0.7072903603444566
64,65,54.461357746523156,0.7072903603444566
65,66,54.461357746523156,0.7072903603444566
66,67,54.461357746523156,0.7072903603444566
67,68,54.461357746523156,0.7072903603444566
68,69,54.461357746523156,0.7072903603444566
69,70,54.461357746523156,0.7072903603444566
70,71,54.461357746523156,0.7072903603444566
71,72,54.461357746523156,0.7072903603444566
72,73,54.461357746523156,0.7072903603444566
73,74,54.461357746523156,0.7072903603444566
74,75,54.461357746523156,0.7072903603444566
75,76,54.461357746523156,0.7072903603444566
76,77,54.461357746523156,0.7072903603444566
