교육청명,유치원명,설립유형,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수,경도,위도,X,Y,CLSS
" 서울특별시교육청 "," 서울수암초등학교병설유치원 "," 공립(병설) "," 서울특별시 노원구 중계로12길 9 "," 07시00분~19시00분 ",1,1,2,0,0,16,21,43,0,0,20211,127.0814438,37.6481029,963076,1961039,정좌표
" 서울특별시교육청 "," 서울매봉초등학교병설유치원 "," 공립(병설) "," 서울특별시 구로구 고척로21길 55 "," 07시00분~20시00분 ",1,1,1,0,0,9,15,24,0,0,20211,126.8445071,37.504415,942064,1945217,정좌표
" 서울특별시교육청 "," 서울서정초등학교병설유치원 "," 공립(병설) "," 서울특별시 양천구 목동로8길 19 "," 07시00분~19시00분 ",1,1,1,0,0,16,21,24,0,0,20211,126.8671925,37.524034,944083,1947380,정좌표
" 서울특별시교육청 "," 종인유치원 "," 사립(사인) "," 서울특별시 관악구 솔밭로 20 "," 09시00분~20시00분 ",1,0,0,1,0,12,0,0,16,0,20202,126.9634658,37.4790911,952562,1942341,정좌표
" 서울특별시교육청 "," 하늘유치원 "," 사립(법인) "," 서울특별시 관악구 양산길 18 "," 07시30분~19시30분 ",2,1,1,0,0,24,22,26,0,0,20211,126.9322529,37.4740556,949799,1941799,정좌표
" 서울특별시교육청 "," 고운유치원 "," 사립(사인) "," 서울특별시 노원구 동일로208길 34 "," 07시00분~20시00분 ",3,3,3,0,0,48,51,77,0,0,20211,127.0669331,37.6440335,961794,1960594,정좌표
" 서울특별시교육청 "," 까치유치원 "," 사립(사인) "," 서울특별시 노원구 덕릉로79길 23 "," 07시00분~22시00분 ",2,2,3,0,0,15,31,52,0,0,20211,127.0729468,37.6561457,962331,1961935,정좌표
" 서울특별시교육청 "," 서울고척초등학교병설유치원 "," 공립(병설) "," 서울특별시 구로구 경서로 31 "," 07시30분~19시30분 ",1,2,2,0,0,15,33,40,0,0,20211,126.8570815,37.5008611,943172,1944815,정좌표
" 서울특별시교육청 "," 서울남유치원 "," 사립(사인) "," 서울특별시 구로구 구로동로17길 37-4 "," 07시30분~19시30분 ",2,1,2,0,0,37,31,39,0,0,20211,126.8818028,37.4880507,945348,1943380,정좌표
" 서울특별시교육청 "," 서울탑동유치원 "," 공립(단설) "," 서울특별시 금천구 탑골로 47-3 "," 07시30분~19시30분 ",2,2,2,0,0,9,30,29,0,0,20211,126.9148596,37.4525333,948246,1939420,정좌표
" 서울특별시교육청 "," 살레시오성미유치원 "," 사립(법인) "," 서울특별시 영등포구 신길로 93 "," 08시00분~17시00분 ",3,3,3,0,0,65,76,81,0,0,20211,126.9090277,37.5015235,947764,1944859,정좌표
" 서울특별시교육청 "," 피노키오유치원 "," 사립(사인) "," 서울특별시 은평구 증산로15길 35-8 "," 09시00분~20시00분 ",0,0,1,2,0,0,0,30,50,0,20182,126.9089604,37.5899954,947820,1954674,정좌표
" 서울특별시교육청 "," 한양제일유치원 "," 사립(법인) "," 서울특별시 서대문구 통일로25길 30 "," 07시00분~19시00분 ",1,1,1,0,0,14,22,21,0,0,20211,126.9472059,37.5830264,951192,1953881,정좌표
" 서울특별시교육청 "," 서울신원초등학교병설유치원 "," 공립(병설) "," 서울특별시 양천구 남부순환로58길 32 "," 07시30분~19시30분 ",1,1,1,0,0,7,18,20,0,0,20211,126.8300124,37.5294742,940802,1948007,정좌표
" 서울특별시교육청 "," 한별유치원 "," 사립(사인) "," 서울특별시 도봉구 덕릉로59아길 17 "," 07시00분~20시00분 ",1,1,2,0,0,19,28,44,0,0,20211,127.0369785,37.6418556,959150,1960365,정좌표
" 서울특별시교육청 "," 경복유치원 "," 사립(사인) "," 서울특별시 서대문구 세검정로1길 95 "," 09시00분~20시00분 ",2,2,2,0,0,40,48,52,0,0,20211,126.9445523,37.5953558,950966,1955250,정좌표
" 서울특별시교육청 "," 성산아트유치원 "," 사립(사인) "," 서울특별시 마포구 새터산2길 34 "," 09시00분~19시00분 ",2,2,2,0,0,33,40,37,0,0,20211,126.9090596,37.5653532,947812,1951940,정좌표
" 서울특별시교육청 "," 제일무궁화유치원 "," 사립(사인) "," 서울특별시 송파구 동남로16길 3 "," 08시00분~18시00분 ",2,3,3,0,0,53,73,73,0,0,20211,127.1310033,37.4947419,967382,1944006,정좌표
" 서울특별시교육청 "," 동화나라유치원 "," 사립(사인) "," 서울특별시 노원구 덕릉로 780 "," 09시00분~18시30분 ",2,1,2,0,0,17,10,33,0,0,20211,127.0796828,37.6668306,962930,1963118,정좌표
" 서울특별시교육청 "," 서울송전초등학교병설유치원 "," 공립(병설) "," 서울특별시 송파구 석촌호수로 159 "," 08시50분~20시00분 ",0,1,2,0,0,0,22,32,0,0,20211,127.0949878,37.508546,964204,1945551,정좌표
" 서울특별시교육청 "," 행복유치원 "," 사립(법인) "," 서울특별시 동작구 양녕로23길 25 "," 08시30분~18시00분 ",2,2,3,0,0,36,48,66,0,0,20211,126.9411278,37.4956795,950598,1944193,정좌표
" 서울특별시교육청 "," 명덕유치원 "," 사립(사인) "," 서울특별시 강동구 동남로83길 66 "," 08시00분~17시30분 ",2,2,3,0,0,40,52,84,0,0,20211,127.1531901,37.559887,969369,1951226,정좌표
" 서울특별시교육청 "," 올림픽유치원 "," 사립(사인) "," 서울특별시 송파구 양재대로 1218 "," 09시30분~17시30분 ",2,3,2,0,0,33,42,33,0,0,20211,127.1333804,37.5141141,967600,1946155,정좌표
" 서울특별시교육청 "," 예은유치원 "," 사립(사인) "," 서울특별시 송파구 오금로32길 13 "," 09시00분~18시00분 ",2,2,2,0,0,46,50,47,0,0,20211,127.1204031,37.5047102,966449,1945116,정좌표
" 서울특별시교육청 "," 목원유치원 "," 사립(사인) "," 서울특별시 구로구 개봉로20길 6 "," 09시30분~19시00분 ",3,3,2,0,0,54,65,48,0,0,20211,126.858564,37.4918831,943296,1943818,정좌표
" 서울특별시교육청 "," 동국유치원 "," 사립(사인) "," 서울특별시 중랑구 용마산로 250 "," 07시30분~19시30분 ",1,1,1,0,0,10,17,18,0,0,20211,127.0889774,37.574934,963705,1952919,정좌표
